timestamp,temperature_c,relative_humidity_pct,sea_level_pressure_hpa,station_level_pressure_hpa,latitude,longitude,elevation_m,station_id,station_name,pressure_hpa,pressure_type
2023-01-04 12:00:00,19.4,28.0,1020.0,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1020.0,sea_level_pressure
2023-01-04 12:00:00,16.5,64.0,1017.9,947.2,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1017.9,sea_level_pressure
2023-01-04 15:00:00,8.4,92.0,1023.0,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1023.0,sea_level_pressure
2023-01-04 15:00:00,13.6,38.0,1021.9,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1021.9,sea_level_pressure
2023-01-04 15:00:00,9.8,90.0,1021.5,948.8,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.5,sea_level_pressure
2023-01-04 18:00:00,6.6,94.0,1023.8,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1023.8,sea_level_pressure
2023-01-04 18:00:00,13.4,42.0,1022.5,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.5,sea_level_pressure
2023-01-04 18:00:00,7.0,95.0,1022.6,949.0,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1022.6,sea_level_pressure
2023-01-04 21:00:00,5.4,97.0,1023.3,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1023.3,sea_level_pressure
2023-01-04 21:00:00,10.8,56.0,1022.2,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.2,sea_level_pressure
2023-01-04 21:00:00,6.4,100.0,1022.4,948.8,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1022.4,sea_level_pressure
2023-01-05 00:00:00,7.0,100.0,1023.0,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1023.0,sea_level_pressure
2023-01-05 00:00:00,8.2,70.0,1022.3,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.3,sea_level_pressure
2023-01-05 00:00:00,5.0,100.0,1021.7,947.7,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1021.7,sea_level_pressure
2023-01-05 03:00:00,7.0,100.0,1025.3,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1025.3,sea_level_pressure
2023-01-05 03:00:00,7.0,74.0,1022.9,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1022.9,sea_level_pressure
2023-01-05 03:00:00,6.4,89.0,1023.1,949.5,30.3167,78.0333,682.0,INM00042111,DEHRADUN,1023.1,sea_level_pressure
2023-01-05 06:00:00,,,,,,,,INI0000VIDD,SAFDARJUNG,,sea_level_pressure
2023-01-05 06:00:00,17.0,38.0,1023.8,,26.2511,73.0489,218.5,INI0000VIJO,JODHPUR,1023.8,sea_level_pressure
2023-01-05 06:00:00,,,,,,,,INM00042111,DEHRADUN,,sea_level_pressure
2023-01-05 09:00:00,15.0,64.0,1022.7,,28.5845,77.2058,214.9,INI0000VIDD,SAFDARJUNG,1022.7,sea_level_pressure
